epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.3863,0.70234,0.71429,1,0.57286,0.00030006,0.00030006,0.00030006
2,20.004,0.53886,0.73469,1,0.38901,0.000592365,0.000592365,0.000592365
3,29.9925,0.40317,0.93878,1,0.23028,0.000859585,0.000859585,0.000859585
4,39.7789,0.29619,0.97959,1,0.1026,0.00110172,0.00110172,0.00110172
5,49.6578,0.29316,0.81633,1,0.64286,0.00131877,0.00131877,0.00131877
6,59.6822,0.25335,0.93878,1,0.09206,0.00133693,0.00133693,0.00133693
7,71.1302,0.24951,0.95918,1,0.09498,0.00127092,0.00127092,0.00127092
8,80.9772,0.20284,1,1,0.04088,0.00120491,0.00120491,0.00120491
9,90.6499,0.16843,1,1,0.02135,0.00113889,0.00113889,0.00113889
10,100.405,0.16827,1,1,0.03849,0.00107288,0.00107288,0.00107288
11,110.381,0.14476,1,1,0.02824,0.00100687,0.00100687,0.00100687
12,119.644,0.11933,1,1,0.01281,0.000940855,0.000940855,0.000940855
13,129.186,0.11895,0.97959,1,0.01561,0.000874842,0.000874842,0.000874842
14,138.867,0.11691,0.97959,1,0.01477,0.000808828,0.000808828,0.000808828
15,147.971,0.13188,1,1,0.01242,0.000742815,0.000742815,0.000742815
16,157.423,0.09269,1,1,0.00358,0.000676802,0.000676802,0.000676802
17,166.825,0.0473,1,1,0.02425,0.000610789,0.000610789,0.000610789
18,176.105,0.07791,0.97959,1,0.03927,0.000544776,0.000544776,0.000544776
19,185.546,0.07358,1,1,0.01121,0.000478762,0.000478762,0.000478762
20,195.043,0.08352,1,1,0.00788,0.000412749,0.000412749,0.000412749
21,204.366,0.0586,1,1,0.00955,0.000346736,0.000346736,0.000346736
22,213.9,0.06935,1,1,0.00396,0.000280723,0.000280723,0.000280723
23,223.487,0.07583,1,1,0.00332,0.00021471,0.00021471,0.00021471
24,233.101,0.0583,1,1,0.0021,0.000148696,0.000148696,0.000148696
25,242.35,0.0582,1,1,0.00365,8.26832e-05,8.26832e-05,8.26832e-05
